,Heating QC,house_score,exter_score,fireplace_score,garage_score,kitchen_score,total_baths,basement_score
318,5,13,7,3,9.0,4,2,8
319,5,12,7,3,9.0,4,3,7
320,3,9,6,3,7.0,4,1,6
321,4,9,6,0,,3,1,0
322,5,13,6,0,7.0,3,1,7
323,3,11,6,4,7.0,4,2,6
324,5,13,7,0,,4,2,7
325,3,10,6,0,,3,1,6
326,3,12,6,0,,3,2,7
327,3,12,7,0,7.0,3,1,6
328,5,12,7,0,9.0,4,2,7
329,5,16,8,6,9.0,4,2,6
330,4,11,6,4,7.0,3,2,6
331,5,9,6,0,6.0,6,2,6
332,4,11,6,0,9.0,4,3,7
333,4,10,6,0,6.0,6,2,6
334,4,13,7,9,9.0,3,1,7
335,3,13,6,0,7.0,3,1,5
336,4,13,6,4,6.0,3,2,5
337,3,13,7,0,7.0,3,1,5
338,4,11,8,0,,3,2,5
339,3,11,6,4,7.0,3,1,5
340,3,13,7,3,9.0,4,1,7
341,3,11,5,6,,4,2,6
342,4,10,6,0,,3,1,5
343,4,12,7,4,7.0,3,1,6
344,5,11,6,0,,4,3,7
345,5,13,7,3,,4,3,7
346,5,13,7,3,,4,3,7
347,4,11,6,3,9.0,3,3,7
348,3,10,6,0,,3,1,6
349,5,12,7,4,9.0,4,3,7
350,3,11,6,3,7.0,3,1,6
351,3,12,5,0,,3,3,5
352,3,13,6,3,9.0,3,2,6
353,4,13,6,0,7.0,3,2,6
354,5,13,7,4,,4,2,8
355,5,9,7,4,,3,2,6
356,5,14,8,4,9.0,4,3,7
357,5,13,6,0,7.0,4,1,6
358,5,12,7,0,9.0,4,2,7
359,5,13,7,3,9.0,4,3,7
360,3,12,6,0,,2,2,6
361,3,13,6,6,7.0,2,1,6
362,3,7,6,0,6.0,3,1,6
363,4,8,6,0,5.0,1,2,6
364,3,10,6,0,7.0,6,2,6
365,5,13,7,0,,4,2,8
366,5,13,7,4,9.0,4,2,7
367,4,9,6,6,,3,2,6
368,5,11,6,3,9.0,4,2,7
369,5,12,7,0,9.0,4,3,7
370,5,11,7,0,6.0,3,1,6
371,3,11,6,0,,6,4,6
372,4,12,6,0,7.0,3,2,6
373,5,12,6,4,7.0,3,1,6
374,5,14,7,3,,5,3,8
375,4,11,6,0,7.0,3,1,6
376,5,13,7,4,9.0,4,2,8
377,4,15,7,4,7.0,4,2,6
378,5,13,7,4,9.0,4,2,8
379,5,12,7,4,,4,2,7
380,3,10,7,0,9.0,4,2,7
381,5,13,6,0,7.0,3,2,7
382,3,11,5,4,7.0,6,2,6
383,5,14,8,4,9.0,5,2,8
384,5,13,7,4,9.0,5,3,8
385,5,12,8,3,7.0,4,3,7
386,5,12,6,4,7.0,3,2,8
387,3,9,5,4,6.0,6,2,5
388,5,17,8,4,7.0,4,2,5
389,3,12,6,0,7.0,3,1,6
390,5,12,6,0,7.0,3,1,6
391,3,10,6,0,7.0,3,2,6
392,5,12,8,4,9.0,5,2,8
393,3,12,6,3,7.0,3,3,7
394,4,10,6,0,6.0,4,2,6
395,5,12,6,0,,4,2,7
396,5,7,6,4,,3,1,6
397,5,11,7,4,9.0,4,2,7
398,4,11,6,3,9.0,3,3,7
399,3,10,6,0,7.0,3,1,7
400,3,7,5,0,,3,1,6
401,4,15,7,0,,3,2,7
402,3,12,7,3,9.0,4,2,6
403,5,11,6,4,6.0,3,2,6
404,5,13,7,4,,4,2,8
405,4,10,6,0,7.0,3,2,6
406,3,10,6,0,7.0,3,1,6
407,4,12,7,4,6.0,6,2,6
408,5,13,7,3,,4,3,7
409,5,13,7,4,9.0,5,3,7
410,3,12,6,0,7.0,3,1,6
411,3,11,6,0,7.0,3,1,5
412,4,11,7,0,7.0,3,2,6
413,3,14,6,3,,4,3,7
414,4,8,6,3,9.0,3,3,0
415,5,13,7,3,,4,3,7
416,5,13,7,3,9.0,4,3,7
417,3,10,6,4,7.0,3,2,6
418,5,12,6,0,9.0,3,3,7
419,4,10,6,0,7.0,3,1,6
420,5,9,6,3,,3,2,6
421,5,13,7,8,9.0,4,3,6
422,4,11,6,0,9.0,3,2,6
423,4,9,6,0,7.0,4,4,5
424,5,15,7,0,6.0,3,2,6
425,5,12,7,3,,4,2,7
426,5,15,8,4,9.0,5,3,8
427,3,13,7,6,9.0,4,1,7
428,5,12,7,0,,4,3,7
429,3,13,6,0,7.0,0,1,6
430,5,14,7,3,9.0,4,2,7
431,5,9,6,0,9.0,4,2,0
432,4,13,6,0,7.0,3,1,6
433,3,12,6,0,7.0,4,1,6
434,5,12,7,4,9.0,4,3,7
435,3,11,6,0,6.0,4,1,6
436,5,13,7,4,,4,4,8
437,5,12,7,4,,4,2,7
438,4,12,6,3,,3,3,6
439,5,12,7,0,,4,3,7
440,4,9,6,6,,3,1,4
441,5,14,7,0,,4,3,7
442,3,10,6,2,,3,2,6
443,4,14,6,0,7.0,3,1,5
444,3,12,7,3,,3,2,7
445,3,12,6,3,,3,1,7
446,5,13,6,8,7.0,5,1,6
447,3,3,4,0,4.0,3,1,4
448,3,11,6,0,6.0,4,1,6
449,5,12,7,3,9.0,4,3,7
450,4,10,6,0,12.0,5,1,6
451,3,13,6,8,7.0,4,3,6
452,5,13,7,4,,4,2,7
453,5,12,7,4,,4,2,7
454,4,12,6,6,6.0,6,2,6
455,5,12,7,0,,4,3,7
456,5,13,7,4,,4,3,7
457,5,12,7,3,7.0,4,2,7
458,5,11,6,0,7.0,2,1,6
459,5,13,7,3,9.0,4,3,7
460,5,12,6,0,7.0,2,1,6
461,3,12,7,3,9.0,4,2,7
462,2,11,6,0,,3,1,6
463,3,11,6,2,,3,2,6
464,5,16,8,10,9.0,5,4,8
465,5,11,6,0,7.0,3,1,6
466,5,12,7,4,9.0,4,3,7
467,4,12,7,3,7.0,4,3,7
468,5,12,7,3,,4,3,7
469,3,11,6,0,7.0,3,1,7
470,3,12,6,0,7.0,3,1,6
471,4,12,6,0,,4,1,7
472,5,12,7,0,,4,2,7
473,4,11,6,3,9.0,4,3,7
474,3,10,6,0,,3,1,6
475,4,12,7,3,,4,3,7
476,5,13,7,3,,4,2,7
477,3,12,6,0,7.0,2,1,6
478,5,10,6,0,9.0,3,3,6
479,3,10,5,0,7.0,3,1,6
480,5,11,7,4,9.0,4,2,7
481,5,7,7,0,7.0,3,1,0
482,4,12,6,3,9.0,4,3,7
483,5,12,6,0,,5,1,7
484,4,12,7,0,9.0,4,3,7
485,3,14,6,8,7.0,3,3,7
486,3,12,6,4,,3,1,6
487,5,11,7,4,9.0,4,1,7
488,3,11,6,1,9.0,4,2,7
489,5,11,7,4,9.0,4,2,7
490,5,13,6,0,9.0,3,1,6
491,3,9,6,0,,6,2,6
492,5,12,7,0,,4,2,7
493,5,14,7,0,7.0,3,3,6
494,5,13,6,6,,3,3,7
495,5,14,8,8,9.0,5,3,8
496,5,12,7,3,9.0,4,2,7
497,3,9,4,0,,3,1,6
498,5,13,6,2,7.0,3,1,6
499,5,9,6,1,,3,3,6
500,3,10,6,0,9.0,3,1,6
501,5,11,7,4,9.0,4,3,7
502,5,13,8,4,7.0,3,3,6
503,5,12,7,0,9.0,4,2,7
504,5,11,7,0,,4,2,7
505,4,11,7,4,,4,2,7
506,5,13,8,0,7.0,3,1,6
507,3,16,7,6,7.0,4,3,8
508,2,12,6,4,4.0,2,1,6
509,3,11,6,3,,3,2,7
510,5,13,7,4,,4,3,7
511,3,7,6,4,,2,2,6
512,4,11,6,2,7.0,4,2,6
513,4,11,6,0,7.0,3,2,5
514,5,12,7,0,7.0,3,1,6
515,3,7,7,0,6.0,3,1,6
516,5,11,6,8,7.0,3,2,6
517,3,10,7,8,7.0,3,2,6
518,5,12,7,3,7.0,4,3,7
519,5,13,7,4,,5,2,8
520,5,13,7,3,7.0,4,3,7
521,4,11,6,0,7.0,3,1,6
522,3,11,5,0,7.0,3,2,6
523,5,6,6,0,6.0,3,2,6
524,4,10,6,0,9.0,3,2,6
525,5,12,7,3,9.0,4,2,7
526,5,14,8,4,,5,3,8
527,3,13,7,3,9.0,4,1,7
528,3,10,6,0,,6,2,0
529,4,13,6,0,6.0,4,1,6
530,4,7,5,0,,4,1,5
531,3,13,6,0,7.0,3,1,6
532,5,11,7,4,7.0,4,3,7
533,3,12,6,0,7.0,3,2,6
534,5,12,7,0,,4,2,7
535,5,13,6,4,7.0,4,3,6
536,3,12,7,4,7.0,4,2,6
537,3,9,6,0,,3,2,6
538,5,16,7,6,9.0,4,3,7
539,4,10,6,0,7.0,3,1,7
540,5,11,7,3,9.0,4,2,7
541,4,13,6,0,7.0,3,1,6
542,4,9,6,0,7.0,3,1,6
543,3,8,6,0,7.0,3,1,7
544,5,11,6,0,9.0,3,1,8
545,4,13,7,3,9.0,4,3,7
546,5,13,7,4,9.0,4,3,8
547,5,13,6,3,,4,3,7
548,5,11,6,0,7.0,4,1,6
549,3,11,6,1,7.0,3,2,6
550,5,13,7,0,9.0,4,2,8
551,4,11,6,0,7.0,4,1,6
552,5,13,7,3,9.0,4,3,7
553,4,11,7,0,7.0,3,1,0
554,3,10,6,0,9.0,3,3,7
555,5,12,7,0,,5,2,7
556,5,12,7,3,,3,1,6
557,4,11,9,0,,3,2,6
558,3,11,6,3,,3,3,7
559,3,14,6,0,7.0,3,1,5
560,5,13,6,4,6.0,3,2,6
561,3,10,6,0,7.0,3,1,6
562,5,12,7,0,9.0,4,3,7
563,5,11,8,0,,4,2,8
564,4,12,6,0,7.0,3,1,6
565,3,12,6,0,,3,2,7
566,3,11,6,0,7.0,3,1,7
567,5,10,6,0,,4,2,7
568,5,11,7,4,9.0,4,3,7
569,4,12,6,0,7.0,4,1,6
570,5,15,6,4,6.0,3,1,5
571,5,10,6,4,7.0,3,2,7
572,3,13,7,0,7.0,4,1,6
573,3,9,6,0,7.0,3,1,6
574,4,10,7,0,8.0,3,1,6
575,5,12,6,3,,3,1,6
576,3,14,7,0,7.0,3,1,6
577,5,13,8,0,,4,2,6
578,5,11,7,0,,4,1,7
579,2,9,5,4,7.0,3,3,7
580,4,11,6,0,7.0,3,2,6
581,5,10,6,4,6.0,3,1,6
582,2,10,6,3,,3,1,6
583,5,12,7,4,9.0,4,3,7
584,3,10,6,4,6.0,2,1,4
585,3,11,6,3,,3,1,6
586,5,12,6,3,,3,1,6
587,3,12,6,0,7.0,4,1,6
588,3,9,6,0,,2,2,6
589,5,13,7,8,,4,2,8
590,5,12,7,4,,4,2,7
591,3,13,7,0,6.0,4,2,6
592,3,12,6,0,,3,1,7
593,4,11,6,0,7.0,3,1,6
594,4,10,6,0,7.0,3,1,6
595,5,14,8,4,9.0,5,2,8
596,3,13,6,6,,4,3,6
597,5,14,7,0,,4,2,5
598,5,13,7,0,9.0,3,1,7
599,3,10,5,0,7.0,3,1,7
600,5,14,8,4,9.0,5,2,8
601,5,12,6,4,6.0,3,1,6
602,5,12,7,0,,4,3,7
603,3,10,6,0,7.0,3,1,7
604,3,11,6,3,9.0,3,3,7
605,5,12,7,4,9.0,4,2,7
606,2,10,6,0,3.0,3,1,6
607,3,12,6,0,7.0,3,1,6
608,3,9,6,0,9.0,3,1,6
609,5,11,6,0,,4,2,7
610,3,9,6,8,7.0,3,2,5
611,4,12,6,0,,5,2,6
612,5,13,7,3,,4,3,8
613,5,12,6,3,,4,2,7
614,2,10,6,4,9.0,3,2,0
615,5,12,6,0,7.0,3,2,6
616,2,5,4,1,,2,1,5
617,5,12,7,0,9.0,4,2,7
618,5,13,7,3,9.0,4,3,7
619,3,7,6,0,,4,2,0
620,5,12,6,3,9.0,3,3,7
621,5,12,7,0,,4,2,7
622,3,10,5,0,7.0,6,2,0
623,4,9,6,0,7.0,3,2,6
624,4,10,6,0,7.0,3,1,5
625,4,13,7,0,5.0,4,2,6
626,3,10,6,6,7.0,6,2,0
627,5,12,7,0,,4,3,7
628,4,10,6,0,7.0,3,2,6
629,5,13,7,4,9.0,4,2,8
630,5,11,6,0,,4,2,7
631,5,11,7,0,7.0,6,3,6
632,5,13,6,4,7.0,4,2,6
633,5,11,6,2,7.0,3,1,6
634,3,6,5,0,6.0,3,1,5
635,4,10,6,0,9.0,4,3,7
636,5,11,7,0,7.0,4,3,7
637,5,11,7,0,7.0,4,2,7
638,3,11,6,4,7.0,3,2,6
639,5,12,6,0,7.0,3,1,6
640,4,13,6,1,8.0,4,2,6
641,5,14,7,5,9.0,5,2,8
642,3,11,6,0,7.0,3,1,6
643,5,11,7,4,9.0,4,2,8
644,5,13,7,4,9.0,4,2,7
645,5,12,6,0,7.0,3,1,7
646,4,10,6,0,7.0,2,1,6
647,5,13,7,4,,4,3,7
648,5,12,7,0,7.0,4,3,7
649,5,11,6,0,,3,1,7
650,5,11,6,3,9.0,3,3,7
651,5,11,6,0,,3,2,6
652,5,12,7,0,7.0,4,1,6
653,3,11,6,4,7.0,3,1,5
654,4,14,6,0,7.0,3,2,7
655,3,9,6,0,6.0,3,1,0
656,5,14,8,4,7.0,3,2,6
657,5,12,7,4,9.0,4,3,7
658,4,11,6,0,6.0,6,2,6
659,5,12,7,6,,4,3,7
660,3,11,6,3,7.0,3,1,6
661,3,12,6,3,7.0,3,2,7
662,5,11,6,1,7.0,4,2,6
663,2,11,6,3,,3,2,6
664,2,14,6,3,9.0,4,3,6
665,5,14,7,4,9.0,5,3,8
666,5,12,7,0,,4,3,7
667,4,12,7,8,7.0,3,2,6
668,5,13,6,8,7.0,6,4,6
669,5,12,6,3,7.0,3,1,6
670,5,13,7,0,9.0,4,2,7
671,5,13,7,0,,4,2,7
672,5,12,7,3,9.0,4,3,7
673,5,15,8,3,7.0,4,3,7
674,3,10,6,4,7.0,3,2,6
675,3,10,6,0,,3,1,7
676,4,12,6,0,7.0,3,1,6
677,4,9,6,4,7.0,3,2,6
678,3,9,6,0,,3,2,6
679,4,11,6,3,7.0,3,2,5
680,5,12,6,0,7.0,3,1,6
681,5,13,7,6,9.0,4,3,7
682,3,14,6,3,,4,2,6
683,5,11,6,3,,3,3,7
684,5,13,7,4,,4,2,7
685,5,11,7,0,,4,3,7
686,3,12,6,0,,3,3,6
687,5,11,6,2,,4,2,7
688,5,14,8,8,7.0,5,3,8
689,5,11,7,4,7.0,3,1,6
690,5,11,6,0,,3,3,7
691,4,8,6,0,6.0,3,1,6
692,5,12,7,0,7.0,4,1,6
693,5,12,7,4,9.0,4,2,8
694,3,11,6,4,7.0,3,1,6
695,4,12,6,3,,4,2,7
696,3,12,6,0,9.0,4,2,7
697,4,12,6,0,,4,3,8
698,5,13,7,4,9.0,5,3,8
699,2,10,6,0,,3,1,7
700,5,13,7,3,9.0,4,2,7
701,5,11,7,4,,4,1,7
702,5,9,6,0,9.0,4,2,7
703,3,13,6,6,7.0,6,2,0
704,3,11,6,0,7.0,3,1,6
705,5,13,7,3,,4,3,7
706,5,12,7,6,9.0,5,3,6
707,3,11,6,6,,3,1,7
708,4,11,6,4,9.0,3,1,6
709,3,9,6,3,5.0,2,1,6
710,5,14,7,4,9.0,5,2,8
711,5,12,7,0,,4,2,7
712,4,9,6,0,,9,2,6
713,5,10,6,0,,3,1,6
714,5,10,6,0,9.0,3,1,6
715,5,12,7,0,7.0,4,1,6
716,3,14,6,4,6.0,3,3,6
717,5,12,7,8,,4,3,7
718,5,13,7,0,9.0,4,3,7
719,4,12,6,3,,4,1,6
720,5,12,7,12,7.0,3,2,6
721,5,12,7,0,7.0,4,2,7
722,5,13,7,4,,4,3,8
723,3,13,7,0,7.0,3,2,8
724,3,12,6,0,7.0,3,3,6
725,5,13,7,3,,4,3,7
726,5,10,7,4,9.0,4,2,7
727,3,12,7,3,9.0,3,2,6
728,5,12,6,4,7.0,3,1,6
729,5,13,7,4,9.0,4,2,7
