,Lot Shape,Land Contour,House Style,Heating QC,Central Air,Bedroom AbvGr,TotRms AbvGrd,Mo Sold,Year Built,Year Remod/Add,Garage Yr Blt,Yr Sold,house_score,exter_score,fireplace_score,garage_score,kitchen_score,total_baths,basement_score,Gr Liv Area,Mas Vnr Area,Total Bsmt SF,SalePrice
105,3,Lvl,1Story,5,Y,2,6,7,1972,1972,1972.0,2006,11,6,0,9.0,3,2,7,1193,144.0,1153.0,146500
106,4,Lvl,2Story,5,Y,3,6,4,2000,2000,2000.0,2006,12,7,0,7.0,4,3,7,1382,0.0,673.0,165000
107,4,Lvl,1.5Fin,3,N,5,10,8,1916,1950,1916.0,2007,13,7,4,7.0,4,2,6,2526,0.0,714.0,136000
108,3,Low,1Story,5,Y,1,4,10,1957,1957,1957.0,2006,12,6,8,7.0,5,2,7,1390,902.0,1705.0,252000
109,4,Lvl,2Story,5,Y,2,6,6,2003,2003,2003.0,2010,12,7,0,,4,3,7,1626,106.0,764.0,175500
110,4,Lvl,2Story,3,Y,3,7,10,1939,1950,1939.0,2009,11,6,4,7.0,3,2,6,1558,0.0,690.0,150000
111,3,Lvl,1Story,3,Y,3,6,8,1960,1978,1960.0,2007,10,6,3,,3,1,6,1422,0.0,978.0,139900
112,4,Lvl,1.5Fin,3,Y,3,8,6,1930,1992,1930.0,2008,12,6,4,7.0,3,2,6,1573,0.0,1078.0,162900
113,3,Lvl,1Story,3,Y,3,5,2,1962,1962,1962.0,2010,12,6,0,7.0,3,2,6,1116,261.0,1116.0,160000
114,4,Lvl,1Story,2,N,2,5,6,1947,1950,missing,2009,4,6,0,0.0,2,1,0,660,0.0,0.0,63900
115,4,Lvl,1Story,4,Y,3,7,5,1978,1998,1978.0,2009,11,6,3,9.0,3,2,6,1707,144.0,1140.0,184000
116,4,Lvl,1Story,3,Y,3,6,11,1959,1959,1959.0,2006,9,6,8,9.0,2,2,6,1466,132.0,1466.0,149900
117,3,Lvl,1Story,5,Y,2,5,7,2000,2000,2000.0,2008,14,7,3,9.0,5,2,7,1638,260.0,1614.0,300000
118,4,Lvl,1Story,4,Y,3,7,12,1960,1960,1960.0,2008,8,6,6,7.0,3,2,6,1721,275.0,988.0,145000
119,3,Lvl,2Story,5,Y,3,7,8,1997,1997,1997.0,2009,11,6,0,,4,3,7,1764,0.0,928.0,231500
120,4,Lvl,1Story,5,Y,3,6,7,1940,1969,missing,2008,11,6,4,0.0,3,1,6,996,0.0,996.0,108000
121,4,Lvl,1Story,3,Y,3,6,11,1956,1956,1956.0,2009,10,6,0,,3,1,6,1202,0.0,1202.0,120000
122,3,Lvl,1Story,3,Y,3,5,10,1961,1961,1963.0,2007,10,6,0,7.0,3,1,6,988,57.0,988.0,128500
123,4,Lvl,1Story,4,Y,2,5,3,1927,1950,1927.0,2010,11,6,4,7.0,3,1,6,1028,0.0,1008.0,115000
124,4,Lvl,1.5Fin,3,Y,2,5,4,1947,1950,1948.0,2009,12,6,0,7.0,3,2,6,1284,0.0,720.0,110000
125,3,Lvl,2Story,3,Y,3,9,6,1977,1977,1977.0,2008,12,8,4,,4,4,7,2944,1050.0,994.0,150000
126,3,Lvl,2Story,5,Y,3,6,10,2004,2004,2004.0,2006,13,7,4,9.0,4,3,9,1414,0.0,707.0,178000
127,3,HLS,2Story,5,Y,3,8,5,1932,1990,1963.0,2006,14,6,8,7.0,4,2,6,1609,0.0,637.0,199500
128,3,Lvl,2Story,5,Y,3,6,5,1997,1998,1997.0,2006,11,6,3,9.0,3,3,6,1525,0.0,813.0,183500
129,4,Lvl,SLvl,5,Y,3,7,7,1967,1967,1967.0,2008,10,5,1,7.0,3,2,7,1656,0.0,624.0,126000
130,4,Lvl,1Story,2,Y,2,4,9,1977,1977,1977.0,2008,13,6,0,7.0,3,2,7,1055,0.0,1055.0,148500
131,4,Lvl,2Story,5,Y,4,7,8,1939,2006,1939.0,2009,12,7,0,7.0,4,2,6,1352,0.0,676.0,149000
132,4,Lvl,2Story,3,Y,3,6,5,1977,1977,1977.0,2009,11,6,3,7.0,3,3,7,1456,0.0,855.0,137900
133,3,Lvl,1Story,5,Y,1,6,5,1993,1993,1993.0,2008,13,7,8,9.0,4,2,7,1719,0.0,1719.0,324000
134,4,Lvl,1Story,3,N,2,5,4,1925,1950,missing,2008,11,6,0,0.0,3,1,6,864,0.0,864.0,98000
135,4,Lvl,2Story,3,Y,2,5,2,1973,1973,1973.0,2008,11,6,0,7.0,3,2,6,987,359.0,483.0,103400
136,4,Lvl,1.5Fin,4,N,2,6,5,1875,1996,missing,2010,13,7,0,0.0,3,1,6,1020,0.0,780.0,94000
137,4,Lvl,1Story,5,Y,2,6,8,2006,2006,2006.0,2007,13,7,4,,4,2,8,1554,108.0,1554.0,209500
138,3,HLS,2Story,5,Y,5,10,9,2006,2006,2006.0,2006,15,8,5,9.0,5,4,8,3390,662.0,1528.0,545224
139,4,Lvl,2Story,5,Y,3,7,5,1912,2009,missing,2010,14,8,0,0.0,4,2,6,1560,0.0,780.0,159900
140,4,Lvl,1Story,5,Y,2,4,6,1951,1951,1951.0,2010,9,6,0,7.0,3,1,6,864,0.0,864.0,141000
141,3,Lvl,2Story,5,Y,3,9,4,2000,2000,2000.0,2006,11,6,3,9.0,3,3,7,1889,0.0,982.0,215000
142,3,Lvl,1Story,5,Y,3,6,4,1962,2010,1962.0,2010,13,7,0,7.0,3,2,6,1040,0.0,1040.0,127000
143,4,Lvl,1Story,3,Y,3,5,6,1954,1998,1954.0,2010,12,6,0,9.0,3,1,6,1172,0.0,1172.0,128000
144,3,Lvl,1Story,5,Y,1,6,4,2010,2010,2010.0,2010,13,7,4,,4,2,6,1418,0.0,1642.0,267916
145,4,Lvl,1.5Fin,3,Y,3,6,11,1931,1950,1978.0,2007,12,6,4,7.0,3,1,5,1367,0.0,884.0,127500
146,4,Lvl,SFoyer,5,Y,4,7,7,2003,2003,2003.0,2009,12,7,5,,4,3,0,1922,500.0,0.0,198500
147,3,Lvl,1Story,3,Y,3,7,6,1981,1981,1981.0,2008,12,7,3,9.0,4,2,7,1422,210.0,1422.0,175500
148,4,Lvl,2Story,5,Y,3,7,7,2000,2000,2000.0,2007,12,7,3,9.0,4,3,7,1842,144.0,985.0,217500
149,4,Lvl,1.5Fin,5,Y,4,9,6,1915,1950,1915.0,2010,9,5,3,7.0,3,2,6,1962,0.0,888.0,149500
150,4,Lvl,1Story,5,Y,3,5,7,1966,2004,1966.0,2009,12,7,3,,3,1,6,1120,165.0,864.0,148800
151,3,Lvl,2Story,5,Y,4,11,7,2005,2006,2005.0,2006,14,7,4,9.0,5,4,8,2868,208.0,1992.0,556581
152,4,Lvl,1Story,4,Y,3,6,6,1957,1957,1957.0,2009,9,6,8,,3,2,6,1478,0.0,1478.0,156500
153,4,Lvl,2Story,5,Y,4,8,7,1995,1996,1995.0,2006,12,8,3,,4,3,8,1995,0.0,930.0,237000
154,3,Lvl,1Story,2,Y,2,5,6,1958,1985,1958.0,2007,12,6,0,9.0,3,1,6,912,0.0,912.0,120000
155,3,Lvl,1Story,5,Y,3,6,6,2005,2005,2005.0,2007,11,6,0,9.0,4,2,7,1326,0.0,1326.0,203000
156,3,Lvl,1Story,3,Y,2,5,8,1987,1987,1987.0,2006,13,6,0,,3,2,7,1204,0.0,1191.0,130000
157,4,Lvl,2Story,3,Y,4,7,6,1964,1964,1964.0,2008,12,6,0,,3,2,6,1611,360.0,780.0,167900
158,4,Lvl,1Story,3,N,3,6,5,1970,1970,1970.0,2006,9,6,0,7.0,3,1,6,960,160.0,960.0,129000
159,3,Lvl,1Story,3,Y,2,6,5,1957,1996,1957.0,2006,11,6,2,7.0,4,1,6,1236,64.0,1070.0,134450
160,4,Lvl,1Story,5,Y,3,7,8,1918,2007,2007.0,2007,12,7,0,7.0,4,2,6,1416,0.0,816.0,112000
161,3,Lvl,2Story,5,Y,3,7,5,1988,1988,1988.0,2007,12,7,3,,4,3,7,1873,360.0,929.0,207000
162,4,Bnk,2Story,3,N,4,11,9,1922,1950,missing,2009,6,6,0,0.0,6,2,5,2128,0.0,1040.0,62500
163,4,Lvl,2Story,5,Y,2,6,10,2003,2004,2003.0,2008,12,7,0,,4,3,7,1626,106.0,764.0,154000
164,3,Lvl,1Story,3,Y,2,5,7,1957,1957,1957.0,2006,12,6,0,7.0,3,1,6,816,0.0,816.0,129900
165,4,Lvl,2Story,3,Y,3,4,4,1976,1976,1976.0,2010,8,6,0,7.0,3,2,7,1112,0.0,536.0,85000
166,4,Lvl,1.5Fin,3,Y,2,5,8,1926,1950,1982.0,2008,14,6,4,7.0,3,1,6,1111,0.0,572.0,116900
167,4,Lvl,2Story,3,Y,3,7,4,1978,1978,1978.0,2009,12,6,3,7.0,3,3,6,1441,0.0,855.0,148500
168,4,Lvl,1.5Fin,2,N,2,5,7,1941,1950,1941.0,2010,8,5,0,7.0,2,1,7,924,0.0,672.0,80000
169,3,Lvl,SFoyer,3,Y,2,5,3,1984,1984,1984.0,2008,10,6,0,7.0,3,1,7,1126,0.0,1060.0,152000
170,4,Lvl,1Story,5,Y,3,6,1,1954,1954,1954.0,2010,11,7,0,7.0,3,1,5,992,0.0,381.0,155891
171,4,Bnk,1.5Fin,5,Y,3,7,2,1920,1950,1977.0,2007,13,7,0,7.0,4,1,6,1376,0.0,768.0,165000
172,4,Lvl,1Story,5,Y,2,4,4,2009,2010,2009.0,2010,12,7,0,,4,2,7,1218,0.0,1218.0,204500
173,4,Lvl,2Story,5,Y,3,7,6,1942,1995,1942.0,2007,12,6,8,7.0,4,2,6,1644,224.0,728.0,146500
174,3,Lvl,1Story,3,Y,3,7,4,1978,1978,1978.0,2009,12,6,3,,3,2,7,1601,206.0,1271.0,157000
175,4,Lvl,2Story,4,Y,5,10,12,1890,1999,1950.0,2008,14,6,4,6.0,3,2,6,2495,0.0,1313.0,184000
176,3,Lvl,2Story,5,Y,3,7,6,2002,2003,2002.0,2006,11,7,4,9.0,4,3,7,1509,0.0,783.0,183200
177,4,Lvl,1Story,3,Y,3,6,9,1962,1962,1962.0,2009,10,6,1,7.0,3,1,6,1092,116.0,1092.0,139000
178,4,Lvl,2Story,5,Y,3,9,8,1993,1994,1993.0,2008,12,7,3,,4,3,7,2418,651.0,1311.0,341000
179,4,Lvl,2Story,3,Y,2,5,2,1971,1971,1971.0,2010,11,6,0,7.0,3,2,6,987,504.0,483.0,96000
180,4,Lvl,1Story,5,Y,2,5,3,2003,2004,2003.0,2010,9,6,0,,3,2,7,1121,0.0,1121.0,140000
181,4,Lvl,1Story,3,Y,2,6,4,1957,1996,1957.0,2010,13,6,0,7.0,3,1,6,1236,0.0,912.0,149700
182,4,Lvl,1Story,5,Y,3,6,7,1975,1975,1975.0,2006,11,6,0,,3,2,7,1074,0.0,1056.0,153500
183,4,Low,1Story,1,N,2,4,2,1952,1952,1952.0,2008,6,3,0,4.0,2,1,0,733,0.0,0.0,13100
184,4,Lvl,2Story,5,Y,3,8,7,2003,2003,2003.0,2008,12,7,0,,4,3,7,1768,252.0,884.0,224900
185,4,Lvl,1Story,5,Y,3,6,4,2005,2005,2005.0,2006,12,7,3,7.0,4,2,7,1266,0.0,1257.0,176000
186,4,Lvl,1.5Fin,5,Y,4,9,4,1992,2000,1992.0,2007,13,7,3,9.0,4,3,7,2872,337.0,1683.0,285000
187,3,Lvl,1Story,5,Y,3,6,8,2007,2007,2007.0,2007,13,7,0,7.0,4,2,7,1464,84.0,1485.0,282922
188,4,Lvl,2Story,5,Y,4,8,5,1966,1966,1966.0,2006,13,6,8,9.0,4,3,6,2157,309.0,924.0,226000
189,3,Lvl,2Story,5,Y,4,10,7,2006,2006,2006.0,2006,13,8,4,9.0,5,3,9,2576,466.0,1234.0,361919
190,3,HLS,2Story,5,Y,3,11,3,2005,2006,2005.0,2006,14,9,4,9.0,5,4,8,2798,600.0,1398.0,457347
191,3,Low,1Story,5,Y,0,5,5,1976,1976,1976.0,2007,14,7,4,9.0,4,1,8,1743,0.0,966.0,279000
192,3,Lvl,1Story,3,Y,2,5,5,1977,1977,1977.0,2009,11,6,6,,4,2,6,1567,0.0,1567.0,196000
193,4,Lvl,1Story,3,Y,3,6,6,1976,1976,1976.0,2009,12,6,3,,3,2,7,1370,189.0,1090.0,152000
194,4,Lvl,2Story,3,Y,6,12,8,1969,1969,1969.0,2009,10,6,0,7.0,6,4,6,2634,368.0,1248.0,200000
195,4,Lvl,1Story,5,Y,2,6,8,2005,2006,2005.0,2006,13,7,0,9.0,5,3,8,1590,198.0,1570.0,294900
196,4,Lvl,1Story,5,Y,2,6,2,2008,2009,2008.0,2009,12,7,0,,4,2,7,1450,140.0,1450.0,224243
197,4,Bnk,1.5Fin,3,Y,3,7,5,1915,1950,1974.0,2006,9,5,0,7.0,3,2,4,1338,0.0,832.0,92000
198,3,Lvl,2Story,5,Y,3,8,7,2007,2007,2007.0,2007,12,7,4,9.0,4,3,7,1456,0.0,728.0,179540
199,4,Lvl,1Story,5,Y,3,8,6,2003,2003,2003.0,2009,15,8,5,9.0,5,2,8,2392,922.0,2392.0,386250
200,4,Lvl,SLvl,3,Y,2,4,7,1970,1970,1970.0,2007,9,6,0,9.0,3,1,7,992,0.0,530.0,106500
201,4,Lvl,2Story,5,Y,3,10,4,2008,2008,2008.0,2009,15,8,5,9.0,5,3,8,2007,160.0,1017.0,310000
