,Alley,Lot Shape,Land Contour,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,MS SubClass,MS Zoning,Street,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence,Misc Feature,Mo Sold,Sale Type,Year Built,Year Remod/Add,Garage Yr Blt,Yr Sold,Lot Frontage,Lot Area,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,SalePrice
10,missing,Reg,Lvl,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,CBlock,TA,TA,No,160,RM,Pave,ALQ,Unf,GasA,TA,Y,SBrkr,0.0,0.0,1,1,2,1,TA,4,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,7,COD,1971,1971,1971.0,2008,21.0,1680,232.0,387.0,0.0,96.0,483.0,483,504,0,987,264.0,0,0,0,0,0,0,0,85400
11,missing,IR1,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,PConc,Gd,TA,Av,20,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,2,1,Gd,6,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,2,WD ,2005,2005,2005.0,2006,64.0,7488,0.0,393.0,0.0,815.0,1208.0,1208,0,0,1208,632.0,105,58,0,0,0,0,0,183600
12,missing,Reg,Bnk,7,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,PConc,missing,missing,missing,70,RL,Pave,missing,missing,GasA,Ex,Y,SBrkr,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,Unf,2.0,TA,TA,P,missing,missing,missing,6,WD ,1880,2007,1900.0,2009,120.0,26400,0.0,0.0,0.0,0.0,0.0,1288,728,0,2016,576.0,0,0,0,0,0,0,0,131000
13,Pave,Reg,Lvl,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,PConc,Gd,TA,No,160,FV,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,Gd,7,Typ,0,missing,Detchd,Unf,2.0,TA,TA,Y,missing,missing,missing,12,ConLD,1999,2000,2000.0,2008,24.0,2645,456.0,813.0,0.0,147.0,960.0,962,645,0,1607,480.0,169,0,0,0,0,0,0,200000
14,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,PConc,Gd,TA,Av,20,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,6,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,6,WD ,2007,2007,2007.0,2008,74.0,9627,0.0,24.0,0.0,1327.0,1351.0,1361,0,0,1361,610.0,0,50,0,0,0,0,0,193000
15,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,PConc,Ex,TA,Av,20,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,7,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,3,WD ,2004,2005,2004.0,2010,93.0,10114,0.0,0.0,0.0,1430.0,1430.0,1430,0,0,1430,624.0,0,0,0,0,0,0,0,173500
16,Grvl,Reg,Lvl,5,Gable,CompShg,AsbShng,AsbShng,None,TA,TA,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,BrkTil,TA,TA,No,70,RM,Pave,Unf,Unf,GasA,Fa,N,SBrkr,0.0,0.0,1,0,4,1,TA,7,Typ,0,missing,Detchd,Unf,3.0,Fa,Fa,Y,missing,missing,missing,5,COD,1916,1950,1916.0,2008,34.0,4571,0.0,0.0,0.0,624.0,624.0,624,720,0,1344,513.0,0,0,96,0,0,0,0,98000
17,missing,Reg,Lvl,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,PConc,TA,TA,No,20,RL,Pave,Rec,Unf,GasA,TA,Y,SBrkr,1.0,0.0,1,0,3,1,TA,5,Typ,0,missing,Detchd,Unf,2.0,TA,TA,Y,missing,MnPrv,missing,6,WD ,1963,1963,1963.0,2009,80.0,8816,0.0,651.0,0.0,470.0,1121.0,1121,0,0,1121,480.0,0,80,0,0,0,0,0,139000
18,missing,Reg,Lvl,5,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,CBlock,TA,TA,No,20,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,MnPrv,missing,4,WD ,1977,1977,1977.0,2007,71.0,8197,148.0,0.0,0.0,660.0,660.0,1285,0,0,1285,528.0,138,0,0,0,0,0,0,143500
19,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,PConc,Gd,TA,Mn,60,FV,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,3,1,Gd,7,Typ,0,missing,Attchd,Unf,2.0,TA,TA,Y,missing,missing,missing,6,Con,2009,2009,2009.0,2010,72.0,8640,0.0,24.0,0.0,732.0,756.0,764,783,0,1547,614.0,169,45,0,0,0,0,0,215200
20,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,CBlock,Gd,TA,No,20,RL,Pave,BLQ,Unf,GasA,Gd,Y,SBrkr,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,5,WD ,1968,1968,1968.0,2007,109.0,8724,0.0,492.0,0.0,402.0,894.0,894,0,0,894,450.0,0,0,0,0,0,0,0,129000
21,missing,IR1,Lvl,5,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,PConc,Gd,TA,No,120,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,10,WD ,2000,2000,2000.0,2009,40.0,5664,0.0,1158.0,0.0,343.0,1501.0,1659,0,0,1659,499.0,212,59,0,0,0,0,0,278000
22,missing,IR1,Lvl,5,Gable,CompShg,CemntBd,CmentBd,missing,Gd,TA,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,PConc,Ex,TA,Av,60,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,7,New,2005,2006,2005.0,2006,103.0,12867,0.0,0.0,0.0,1209.0,1209.0,1209,1044,0,2253,575.0,243,142,0,0,0,0,0,344133
23,missing,IR1,Lvl,7,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,PConc,Gd,TA,No,20,RL,Pave,ALQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,3,1,TA,6,Typ,0,missing,Attchd,Fin,2.0,TA,TA,Y,missing,GdPrv,Shed,3,WD ,1992,2007,1992.0,2010,0.0,7980,0.0,935.0,0.0,233.0,1168.0,1187,0,0,1187,420.0,483,21,0,0,0,0,500,185000
24,missing,Reg,Bnk,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,CBlock,TA,TA,Mn,190,RL,Pave,Rec,Unf,GasA,TA,N,SBrkr,1.0,0.0,1,0,3,1,TA,5,Typ,0,missing,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,1,WD ,1955,1955,1955.0,2006,100.0,34650,0.0,1056.0,0.0,0.0,1056.0,1056,0,0,1056,572.0,264,0,0,0,0,0,0,145000
25,missing,IR1,Lvl,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,CBlock,TA,TA,No,20,RL,Pave,Rec,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,GdPrv,missing,4,WD ,1961,1961,1961.0,2009,92.0,10573,3.0,1312.0,0.0,141.0,1453.0,1453,0,0,1453,530.0,0,49,0,0,288,0,0,187500
26,missing,Reg,Lvl,8,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,CBlock,TA,TA,No,20,RL,Pave,GLQ,BLQ,GasA,Ex,Y,SBrkr,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,Unf,1.0,TA,TA,Y,missing,MnPrv,missing,4,WD ,1965,2009,1973.0,2010,65.0,8450,0.0,553.0,117.0,224.0,894.0,894,0,0,894,336.0,416,144,0,0,0,0,0,138500
27,Grvl,IR1,HLS,6,Gable,CompShg,WdShing,Wd Shng,None,TA,TA,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,CBlock,TA,TA,No,50,RL,Pave,BLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,7,WD ,1937,1995,1937.0,2008,0.0,11700,0.0,606.0,0.0,336.0,942.0,1265,673,0,1938,240.0,0,40,0,0,0,0,0,198000
28,missing,Reg,Lvl,6,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,CBlock,TA,TA,No,190,C (all),Pave,Unf,Unf,GasA,Fa,N,SBrkr,0.0,0.0,2,0,4,2,TA,9,Typ,0,missing,missing,missing,0.0,missing,missing,N,missing,missing,missing,6,WD ,1895,2006,missing,2007,75.0,8250,0.0,0.0,0.0,957.0,957.0,1034,957,0,1991,0.0,0,0,133,0,0,0,0,119600
29,missing,Reg,Lvl,7,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,CBlock,TA,TA,Mn,50,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,Unf,2.0,TA,TA,Y,missing,MnPrv,Shed,7,WD ,1949,2006,2003.0,2007,60.0,8064,0.0,0.0,0.0,672.0,672.0,672,252,0,924,576.0,0,0,0,0,0,0,2000,122900
30,missing,Reg,Lvl,5,Hip,WdShngl,BrkFace,BrkFace,None,Gd,TA,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,PConc,Gd,TA,No,20,RL,Pave,ALQ,Unf,GasA,TA,Y,SBrkr,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,missing,MnPrv,missing,7,WD ,1981,1981,1981.0,2009,80.0,9600,0.0,1104.0,0.0,1420.0,2524.0,2524,0,0,2524,542.0,474,120,0,0,0,0,0,278000
31,missing,IR1,HLS,7,Gable,CompShg,BrkFace,Stucco,None,TA,TA,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,PConc,Gd,TA,No,70,RL,Pave,Unf,Unf,GasA,Fa,Y,SBrkr,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,Unf,2.0,TA,TA,Y,missing,missing,missing,6,WD ,1929,1950,1931.0,2006,0.0,11435,0.0,0.0,0.0,792.0,792.0,792,725,0,1517,400.0,0,0,0,0,0,0,0,230000
32,missing,IR1,Lvl,5,Hip,CompShg,BrkFace,BrkFace,None,Gd,Gd,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,PConc,Gd,Gd,Av,120,RL,Pave,LwQ,GLQ,GasA,Ex,Y,SBrkr,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,4,WD ,1995,1996,1995.0,2006,30.0,9549,0.0,437.0,1057.0,0.0,1494.0,1494,0,0,1494,481.0,0,30,0,0,216,0,0,270000
33,missing,Reg,Lvl,6,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,CBlock,TA,TA,No,20,RL,Pave,ALQ,Unf,GasA,TA,Y,SBrkr,0.0,0.0,1,0,2,1,TA,5,Typ,0,missing,Detchd,Unf,2.0,TA,TA,N,missing,missing,missing,4,WD ,1952,1952,1952.0,2007,60.0,10950,0.0,441.0,0.0,507.0,948.0,948,0,0,948,410.0,0,48,0,0,0,0,0,125000
34,missing,Reg,Lvl,5,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,PConc,Ex,TA,Gd,20,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3.0,TA,TA,Y,missing,missing,missing,9,WD ,2007,2008,2007.0,2009,79.0,10637,336.0,1288.0,0.0,417.0,1705.0,1718,0,0,1718,826.0,208,44,0,0,0,0,0,297000
35,missing,IR1,HLS,6,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,TA,TA,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,CBlock,Gd,TA,Gd,20,RL,Pave,Unf,Unf,GasA,Fa,Y,SBrkr,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Basment,RFn,1.0,TA,TA,Y,missing,missing,missing,4,WD ,1958,1958,1958.0,2009,80.0,9000,82.0,0.0,0.0,160.0,160.0,1142,0,0,1142,384.0,0,28,64,0,0,0,0,113500
36,missing,Reg,Lvl,6,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,PConc,TA,TA,No,160,RM,Pave,ALQ,Rec,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,4,1,TA,6,Typ,1,TA,Attchd,RFn,1.0,TA,TA,Y,missing,missing,missing,7,WD ,1977,1977,1977.0,2006,41.0,2665,0.0,548.0,173.0,36.0,757.0,925,550,0,1475,336.0,104,26,0,0,0,0,0,127000
37,missing,IR1,Lvl,6,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,CBlock,Gd,TA,No,20,RL,Pave,BLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,MnPrv,missing,1,COD,1977,1977,1977.0,2010,105.0,11751,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,1844,546.0,0,122,0,0,0,0,0,190000
38,missing,Reg,Lvl,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,CBlock,TA,TA,No,20,RL,Pave,ALQ,Unf,GasA,Fa,Y,SBrkr,0.0,0.0,1,1,3,1,TA,6,Typ,1,TA,Attchd,Unf,2.0,TA,TA,Y,missing,missing,missing,9,WD ,1973,1973,1973.0,2007,80.0,9600,320.0,916.0,0.0,326.0,1242.0,1242,0,0,1242,528.0,0,0,0,0,0,0,0,175500
39,missing,IR2,Lvl,7,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,PConc,Gd,Gd,No,20,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,1,0,3,1,TA,5,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,7,WD ,1994,1994,1995.0,2007,60.0,8428,0.0,420.0,0.0,570.0,990.0,990,0,0,990,384.0,256,0,0,0,0,0,0,146000
40,missing,Reg,Lvl,6,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,CBlock,TA,TA,No,20,RL,Pave,BLQ,LwQ,GasA,Gd,Y,SBrkr,1.0,0.0,1,1,3,1,TA,6,Typ,0,missing,Attchd,Fin,1.0,TA,TA,Y,missing,missing,missing,6,WD ,1965,1965,1965.0,2008,75.0,9937,0.0,830.0,290.0,136.0,1256.0,1256,0,0,1256,276.0,736,68,0,0,0,0,0,147500
41,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,missing,Ex,TA,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,PConc,Ex,Gd,Gd,20,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,2,1,Ex,7,Typ,1,Gd,Attchd,Fin,3.0,TA,TA,Y,missing,missing,missing,9,New,2006,2006,2006.0,2006,107.0,13891,0.0,1386.0,0.0,690.0,2076.0,2076,0,0,2076,850.0,216,229,0,0,0,0,0,465000
42,missing,IR1,Lvl,6,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,PConc,Gd,TA,Av,85,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,7,WD ,1978,1978,1978.0,2009,0.0,9101,104.0,1097.0,0.0,0.0,1097.0,1110,0,0,1110,602.0,303,30,0,0,0,0,0,165500
43,Grvl,Reg,Lvl,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,BrkTil,TA,TA,No,50,RM,Pave,Unf,Unf,GasA,Ex,N,FuseF,0.0,0.0,2,0,4,1,TA,7,Typ,0,missing,Attchd,Unf,1.0,Fa,TA,Y,missing,missing,missing,11,WD ,1954,1954,1954.0,2008,81.0,12150,335.0,0.0,0.0,1050.0,1050.0,1050,745,0,1795,352.0,0,0,0,0,0,0,0,131500
44,missing,Reg,Lvl,5,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,CBlock,TA,TA,No,20,RL,Pave,Rec,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,1,0,3,1,TA,5,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,2,WD ,1965,1965,1965.0,2008,70.0,11200,0.0,906.0,0.0,134.0,1040.0,1040,0,0,1040,384.0,0,0,0,0,0,0,0,129500
45,missing,IR1,HLS,6,Gable,CompShg,BrkFace,Stucco,Stone,TA,TA,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,PConc,TA,Fa,No,70,RL,Pave,LwQ,Unf,GasA,TA,Y,SBrkr,0.0,0.0,1,1,4,1,TA,9,Typ,2,Gd,Detchd,Fin,2.0,Fa,TA,Y,missing,missing,missing,6,WD ,1935,1950,1935.0,2008,100.0,9670,40.0,210.0,0.0,398.0,608.0,983,890,0,1873,786.0,0,0,207,0,0,0,0,257076
