Id,SalePrice
1677,186432.9581
1406,305092.0982
2322,163926.7397
688,229676.2927
143,165845.9925
804,142862.9204
1214,294022.0581
2828,140613.5368
1999,168238.5734
2467,79828.92214
2665,258363.2359
1538,160604.9287
398,326629.3798
2822,324298.3845
2157,219347.7292
1856,196243.7736
1269,165203.8347
2570,90017.33188
2320,186209.0688
1517,161350.7873
2304,193195.7684
1312,1835.496216
2012,241722.556
506,101861.4587
2865,105763.7731
2367,119141.2755
554,160566.6103
238,210674.4379
1954,181795.3996
2488,140637.1002
2291,182347.8198
1969,171651.2828
2725,187029.3448
1482,70931.15823
2763,110323.4649
503,189965.6821
1584,229589.3876
1531,136932.2013
2210,288138.851
459,276130.6259
556,186647.6145
1347,178961.8728
1290,232179.4627
1388,177312.2826
1571,187311.5108
2754,191827.7412
765,188313.2359
2494,112363.2941
2870,75412.94427
7,217109.4591
1114,144347.2479
2418,150497.3435
291,208000.5083
18,173497.5909
39,121606.1265
1001,227045.6509
2442,188567.076
616,228282.6734
2680,135173.1778
1414,150263.7571
289,147838.9174
40,156864.1871
860,97696.34845
409,167462.5318
673,213220.1523
2427,263582.548
2036,80169.63555
2564,125416.4247
642,159684.8253
1008,217848.0977
1908,313636.1394
2519,135770.2607
1369,128973.521
2855,348885.4647
712,197851.8135
1943,308523.0725
1958,196682.9364
107,221124.7223
2295,164426.5938
704,162731.8649
676,256520.2184
259,227872.7512
93,217109.4591
106,124808.2362
2315,281801.9756
1050,77703.27979
1095,89838.85778
2709,64189.51989
758,112087.5831
1496,114256.3007
2370,307920.5157
2458,263730.6081
2733,153954.8355
161,239868.5182
726,261227.34
845,-5861.216169
947,184876.704
2232,200597.4828
2563,308380.5424
2299,137890.3215
211,156091.0552
605,227059.6335
1478,225845.1692
2247,238220.0437
2274,205695.6102
2869,254168.5964
967,277981.0932
2656,124423.3765
667,133436.3134
1042,222939.2762
2023,201690.5673
2447,144152.3199
2055,308259.2052
2275,145892.9378
2204,191501.5814
1563,216421.994
483,163507.1726
796,85348.73513
1526,225563.2583
2042,269609.4454
442,226406.9599
1693,238176.7439
1468,117261.3438
1430,168926.3627
2605,221040.405
1529,123381.919
335,130415.4397
1287,117408.704
31,327136.2379
1785,190195.1477
82,146335.7486
2620,245184.3288
252,192298.3914
721,187163.6084
2165,219504.8951
2316,222050.7437
775,107813.0978
1558,123454.0157
17,178216.8138
1022,188135.9004
925,197776.1555
438,217210.034
1270,207799.6363
1272,232846.582
215,22085.19226
266,277118.0217
2402,261173.3062
1250,279657.8073
1984,191903.1353
1279,298426.6914
377,181455.8591
1252,268670.4183
2156,186712.3622
499,179854.3485
1374,89796.1252
2898,178472.6931
401,96655.70519
2721,293276.0384
2078,243467.7901
2589,115608.6874
1946,228932.9135
1334,104564.2978
2781,240638.8738
431,111399.0952
576,94924.24102
1474,299986.1145
2254,266913.8931
2155,273756.2876
885,242782.1076
643,66259.27619
1944,204870.5937
480,111527.7407
2845,128711.3527
2387,272704.387
2407,274029.6488
2527,148490.9809
2514,110497.0191
629,138588.0176
80,120604.3958
1876,150975.1786
1546,98710.24751
2518,291985.7718
2347,232691.2812
783,191239.1107
1322,200424.9403
194,226940.4548
1770,270691.3318
2143,157140.2065
1229,150272.2797
511,150845.1633
46,200664.681
1348,158025.5968
2465,65782.95034
387,387052.3551
873,295990.353
1918,286069.7008
2764,222104.5442
2184,168130.2958
934,138207.546
1920,248352.415
2631,219105.8025
1768,165855.1016
2040,146557.8674
1749,109338.5222
834,181407.9217
1457,199970.6869
79,201006.1935
2302,213215.0505
1817,81081.32388
2755,322451.6203
359,157445.0829
2059,133665.3007
2092,325199.7985
2516,280674.5348
150,90484.43828
1656,149678.7079
83,205258.3978
2411,118492.0408
795,84398.55838
2312,209152.7212
2917,124602.9354
1624,135559.1242
2215,291124.1736
1211,130430.7463
1485,297373.9903
1024,204657.7546
570,243693.4329
2874,117932.0647
700,158926.1735
2756,213971.5033
2022,114238.3886
583,148715.2066
2392,208539.0116
2424,146426.7109
212,88233.11511
736,208413.8362
1610,204856.934
890,143224.8546
467,185382.0945
578,275201.8629
1747,169947.183
1149,125979.0445
2758,222542.4112
857,299010.1631
2219,133505.4562
733,164774.9984
2909,107532.9501
1798,150448.0256
235,104189.6715
2366,269248.7106
1027,
1195,
1303,
148,
608,
2515,
821,
2500,
745,
741,
1611,
2532,
1081,
1692,
2520,
276,
1992,
663,
418,
1733,
2359,
253,
1518,
2035,
2919,
1540,
2120,
1674,
256,
2361,
978,
2280,
2095,
1709,
2801,
1246,
2373,
1055,
2017,
1099,
1344,
835,
1117,
2043,
2085,
410,
2650,
2867,
1668,
1161,
2122,
2539,
1047,
1445,
541,
569,
1276,
918,
326,
1936,
895,
257,
1241,
1545,
1189,
270,
2066,
693,
1259,
2916,
2321,
1977,
1895,
1240,
85,
1823,
825,
110,
697,
2297,
1231,
1355,
968,
584,
1315,
1606,
206,
1685,
2016,
869,
2135,
2346,
2430,
2198,
2652,
27,
241,
906,
1506,
2098,
1435,
2213,
1274,
743,
1737,
2797,
2185,
58,
830,
808,
680,
1153,
1291,
1818,
2161,
1883,
350,
2473,
295,
293,
859,
288,
1578,
102,
2831,
1030,
2551,
1286,
958,
776,
72,
2263,
1866,
2876,
2146,
103,
1500,
492,
167,
2597,
2685,
1035,
1220,
2602,
2159,
695,
1109,
640,
1652,
2090,
1188,
2345,
1059,
2751,
128,
1523,
2925,
2145,
1121,
566,
565,
1331,
2928,
156,
797,
327,
2859,
1453,
1762,
1868,
1760,
1113,
1812,
117,
1142,
2342,
927,
2478,
655,
2064,
369,
2239,
2732,
1653,
959,
2395,
1412,
271,
1484,
1497,
552,
2,
1855,
4,
2292,
134,
646,
42,
532,
713,
2561,
2360,
1333,
1407,
2892,
574,
1227,
2591,
1476,
1125,
1446,
408,
1101,
2251,
373,
2554,
2382,
1985,
519,
1093,
864,
2889,
2308,
986,
1302,
585,
2708,
147,
1441,
383,
285,
181,
358,
780,
258,
1865,
692,
2902,
508,
2638,
36,
611,
2281,
1678,
1696,
1557,
2180,
1726,
951,
267,
2706,
2221,
1357,
2901,
347,
2164,
1586,
360,
1769,
2617,
1879,
991,
1535,
1191,
1579,
1882,
1510,
2196,
1845,
2336,
942,
861,
2555,
1392,
2099,
1543,
948,
1239,
22,
2796,
2747,
92,
210,
1858,
2228,
447,
827,
1649,
682,
2698,
494,
214,
2441,
2679,
1336,
465,
1524,
2543,
631,
2452,
228,
126,
1092,
1122,
932,
1980,
2171,
551,
2768,
2056,
1159,
2645,
1174,
2266,
2462,
1219,
2922,
118,
474,
2576,
872,
1077,
1536,
1150,
2341,
1931,
2785,
2538,
597,
464,
233,
2169,
2123,
1867,
137,
515,
933,
2784,
972,
599,
2614,
2582,
1409,
175,
352,
976,
2134,
984,
2396,
1673,
404,
607,
814,
868,
2271,
1633,
337,
2765,
1746,
368,
2806,
1662,
1234,
1373,
1672,
1939,
